Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
94,1 2 6 8,6.09,95.90%,6.41,2.33
95,1 7 8 8,6.09,96.60%,6.61,2.66
96,2 8 13 13,6.09,90.20%,6.39,2.56
97,2 11 11 11,6.09,90%,6.21,2.47
98,2 11 12 12,6.09,95.40%,6.49,2.27
99,4 7 7 8,6.09,93.80%,6.55,2.52
100,3 3 4 8,6.1,96.20%,6.43,2.14
101,5 6 8 8,7.34,92.20%,7.69,2.92
102,1 11 12 13,7.35,93.80%,7.77,3.19
103,3 5 6 8,7.35,93.50%,7.83,3.19
104,6 8 13 13,7.35,93.30%,7.82,3.08
105,4 4 5 8,7.37,95.90%,7.72,2.57
106,7 10 12 12,7.37,84.60%,7.57,3.7
107,1 8 9 13,7.38,91.40%,7.84,3.51
108,3 5 10 12,7.38,94.80%,7.95,3.1
109,3 9 11 11,7.38,85.80%,7.49,3.24
110,6 6 6 9,7.38,89.60%,7.97,3.92
111,5 5 10 11,7.39,87.70%,7.75,3.46
112,2 2 4 7,7.4,95.30%,8.06,3.15
113,3 6 8 8,7.4,92.70%,7.74,2.98
114,3 9 13 13,7.4,86.30%,7.56,3.26
115,4 4 4 7,7.4,91.10%,7.76,3.31
116,1 4 4 4,7.41,95.70%,7.86,2.86
117,9 10 10 13,7.41,95.20%,7.86,3.02
118,2 10 10 11,7.42,85.20%,7.27,2.92
119,3 3 10 13,7.42,89.40%,7.7,3.46
120,1 2 3 9,7.43,96.40%,7.98,3.1
121,2 4 8 10,7.43,97.80%,7.91,2.6
122,1 7 9 9,7.44,94.70%,7.92,3.19
123,2 6 6 6,7.45,95.90%,8.01,3.06
124,2 6 9 11,7.45,95.50%,7.93,3.13
125,3 4 4 7,7.45,90.30%,7.87,3.37
126,2 6 6 13,7.46,84.90%,7.54,3.15
127,8 8 8 12,7.46,88.20%,7.86,3.98
128,3 5 5 7,7.47,89.90%,7.71,3.14
129,4 7 9 9,7.47,86.40%,7.59,3.16
130,5 7 13 13,7.47,94.20%,7.87,3.21
131,1 4 5 5,7.48,95.80%,7.91,2.68
132,1 5 5 6,7.48,94.90%,7.99,3.07
133,4 8 12 13,7.48,91.70%,8.18,3.7
134,5 10 13 13,7.48,92.50%,7.93,2.78
135,2 10 10 13,7.49,90%,7.63,2.85
136,3 3 5 5,7.49,89.40%,7.73,3.16
137,3 7 9 10,7.49,91.90%,8.06,3.46
138,1 2 3 7,7.5,96.10%,8.17,3.2
139,4 4 7 9,7.5,93.20%,7.9,3.39
140,2 2 6 6,7.51,95.80%,8.02,3.05
141,2 6 6 11,7.51,83.20%,7.35,3.13
142,6 7 11 13,7.51,90.10%,7.89,3.44
143,1 2 2 4,7.52,95.50%,7.83,2.44
144,3 5 6 12,7.52,93.40%,8.04,3.23
145,2 2 7 8,7.53,93.70%,7.88,2.98
146,2 4 4 13,7.53,85.40%,7.66,3.38
147,4 4 8 8,7.53,95.60%,8.13,3.2
148,3 6 10 12,7.54,92.90%,8.05,3.43
149,1 2 4 13,7.55,93.60%,7.88,2.93
150,2 4 5 13,7.55,94.70%,8.14,3.25
151,2 7 8 8,7.57,92.60%,7.97,3.08
152,1 2 12 13,7.58,95.90%,8.31,3.37
153,2 3 4 12,7.58,94.20%,8.09,3.28
154,3 4 9 12,7.58,94.50%,8.02,3.08
155,9 11 13 13,7.6,92%,8.11,3.19
156,2 2 4 10,7.61,94.10%,8.01,2.92
157,2 8 12 13,7.61,89.40%,7.86,3.55
158,3 4 4 12,7.61,90.40%,7.91,3.28
159,2 4 4 11,7.62,84.50%,7.62,3.38
160,2 3 5 6,7.63,95%,8.05,2.95
161,2 6 11 13,7.63,89.70%,7.78,3.26
162,3 9 12 12,7.63,90.70%,8.2,3.48
163,5 6 10 10,7.63,86.90%,7.99,3.73
164,1 3 8 12,7.64,96.60%,8.14,2.9
165,2 6 8 11,7.64,93.30%,8.07,3.38
166,1 4 10 11,7.65,95%,8.1,3.15
167,1 9 11 11,7.65,89.70%,7.79,3.02
168,1 4 9 12,7.67,95.90%,8.33,3.37
169,4 8 10 11,7.67,90.40%,7.98,3.45
170,2 2 2 10,7.68,94.10%,8.13,3.33
171,3 6 12 12,7.69,93%,8.24,3.48
172,1 2 9 12,7.7,92.40%,8.32,3.81
173,3 3 4 12,7.7,95%,8.34,3.2
174,4 5 7 8,7.7,95.60%,8.19,3.15
175,4 7 9 10,7.7,90.50%,8.19,3.66
176,4 4 4 5,7.71,84.90%,7.7,3.66
177,5 6 7 8,7.71,93.50%,8.21,3.11
178,1 6 9 13,7.72,90.60%,8.12,3.96
179,2 6 8 10,7.72,93.20%,8.22,3.44
180,3 3 4 7,7.72,90.20%,8.18,3.48
181,6 6 10 12,7.72,93.80%,8.14,3.07
182,8 9 11 13,7.72,90.70%,8.16,3.68
183,3 4 4 9,7.73,90.90%,8.24,3.29
184,3 5 8 11,7.75,89.60%,8.05,3.47
185,6 6 7 10,7.75,84.20%,7.85,4.09
186,6 6 9 12,7.75,92.60%,8.12,3.31
187,1 3 5 11,7.76,93.20%,8.11,2.86
188,1 5 6 10,7.76,91.50%,8.1,3.24
189,3 6 6 9,7.77,96.20%,8.24,2.96
190,1 2 2 5,7.79,94.30%,8.03,2.83
191,1 2 4 11,7.8,91.90%,8.06,2.8
192,2 5 5 11,7.81,82.90%,7.62,3.34
193,3 3 8 9,7.81,88.70%,8.19,3.79
194,3 6 10 10,7.81,85.30%,7.81,3.64
195,5 6 6 6,7.81,87.50%,7.91,3.44
196,8 11 12 12,7.82,77.50%,7.26,3.55
197,1 4 8 11,7.83,95.40%,8.26,2.85
198,5 8 8 9,7.83,87%,8.05,3.92
199,2 2 9 11,7.84,91.50%,8.16,3.28
200,2 7 7 11,7.84,86.60%,7.89,3.67
201,1 3 3 11,10.02,88.20%,9.98,4.68
202,4 5 6 10,10.02,90.30%,10.49,4.36
203,1 2 4 7,10.03,89.10%,10.3,4.82
204,2 5 8 11,10.03,85.90%,10.22,5.08
205,3 4 4 13,10.03,88.80%,10.08,4.15
206,6 7 8 9,10.03,84.50%,9.67,4.35
207,1 11 11 13,10.06,87.70%,10.01,4.25
208,1 8 10 11,10.07,86.90%,10.02,3.39
209,2 3 6 9,10.1,93.10%,10.54,4.14
210,1 3 5 9,10.11,90.60%,10.39,4.46
211,3 3 7 12,10.11,84.50%,10.02,5.26
212,4 5 7 9,10.12,86.70%,10.41,5.0
213,1 2 8 13,10.13,91.30%,10.43,4.73
214,4 6 6 9,10.14,87.60%,10.45,5.26
215,1 4 4 8,10.15,89.70%,10.37,5.43
216,1 5 10 11,10.16,86.30%,9.92,3.62
217,3 4 6 11,10.16,88.90%,10.38,4.56
218,2 4 8 9,10.17,84%,9.9,4.57
219,1 4 5 13,10.18,87.70%,10.29,4.48
220,2 2 7 12,10.19,83.20%,9.78,4.39
221,3 3 6 7,10.19,88.70%,10.6,4.55
222,1 5 9 13,10.2,84.90%,10.1,4.71
223,5 6 7 13,10.2,86.40%,10.44,5.42
224,5 5 8 10,10.21,81.30%,9.68,3.96
225,2 4 6 12,10.23,94.50%,11.06,4.75
226,6 7 8 11,10.24,83.90%,9.96,4.83
227,7 9 9 13,10.26,88%,10.34,4.64
228,3 6 9 12,10.27,92.70%,10.72,4.16
229,6 9 12 13,10.28,88.30%,10.45,4.3
230,4 7 9 13,10.29,84.30%,10.35,5.72
231,5 6 8 12,10.29,87.90%,10.35,4.06
232,2 4 6 7,10.31,90.10%,10.42,4.27
233,2 5 10 10,10.32,78.30%,9.42,3.9
234,6 6 7 12,10.32,83.80%,10.01,4.72
235,6 9 9 11,10.33,82.40%,9.64,5.0
236,5 8 11 12,10.34,86.90%,10.5,4.16
237,5 6 8 10,10.35,87%,10.31,4.38
238,6 11 12 13,10.36,80.10%,9.55,4.95
239,2 2 8 8,10.38,91.40%,10.72,4.71
240,2 7 12 13,10.44,80.40%,9.67,4.84
241,2 6 8 12,10.45,94%,11.09,4.51
242,3 4 9 13,10.45,79.60%,9.45,5.34
243,4 5 10 12,10.45,86.20%,10.27,4.29
244,1 2 7 11,10.5,88.10%,10.57,4.68
245,4 5 6 8,10.5,87.30%,10.41,4.23
246,6 10 12 13,10.5,82.50%,10.05,4.71
247,1 3 9 9,10.51,85.20%,10.11,4.02
248,1 4 4 11,10.51,86.70%,10.49,5.21
249,2 3 9 10,10.55,90%,10.75,4.18
250,1 2 3 13,10.59,91.70%,10.95,4.79
251,1 6 6 6,10.59,85.60%,10.17,5.05
252,1 2 2 9,10.62,82.40%,9.9,4.48
253,1 3 6 11,10.64,88.10%,10.57,4.29
254,5 10 12 13,10.64,83.50%,10.21,4.41
255,2 3 6 6,10.65,91.90%,11.04,4.36
256,6 7 10 12,10.66,85.20%,10.62,4.7
257,7 8 8 12,10.66,83.60%,10.32,4.47
258,3 4 6 8,10.69,90.70%,11.2,5.02
259,1 7 9 11,10.71,85.10%,10.44,4.24
260,2 3 6 13,10.71,90%,10.81,4.54
261,2 2 5 12,10.72,84.80%,10.48,5.13
262,2 6 8 13,10.72,87.20%,10.87,5.06
263,8 8 10 12,10.72,78.70%,9.71,5.6
264,1 3 8 13,10.73,90.40%,11.06,5.02
265,4 4 7 10,10.74,75.20%,8.92,4.39
266,1 7 10 13,10.75,83.70%,10.33,4.61
267,1 9 10 13,10.76,83%,10.25,4.39
268,3 3 4 11,10.76,88.60%,10.88,5.41
269,2 5 7 7,10.77,82.90%,10.41,4.71
270,3 9 10 13,10.83,83%,10.85,6.21
271,2 3 4 7,10.87,86.70%,10.78,4.85
272,4 4 8 12,10.87,92%,11.49,4.93
273,1 2 6 10,10.89,86.80%,10.8,4.94
274,1 5 12 12,10.9,81.30%,10.12,4.86
275,5 6 6 8,10.92,81.50%,10.49,5.85
276,7 7 8 11,10.95,80.40%,10.02,4.42
277,1 3 7 10,10.97,86.50%,10.9,5.15
278,3 3 9 12,10.97,87%,10.96,4.84
279,3 5 7 10,10.99,84.50%,10.67,5.1
280,4 10 12 13,10.99,81.50%,10.2,5.37
281,2 3 10 12,11.0,86.40%,11.17,4.04
282,3 4 6 6,11.01,90.50%,11.26,4.63
283,5 8 8 8,11.02,80.20%,10.42,5.19
284,6 8 8 12,11.02,88.10%,11.31,4.99
285,2 3 4 9,11.05,88.20%,11.11,4.67
286,2 6 7 11,11.07,82.60%,10.49,5.02
287,5 9 12 12,11.07,83%,10.77,4.73
288,1 2 7 12,11.1,77.90%,9.65,5.55
289,2 4 5 6,11.11,91%,11.61,4.46
290,5 5 8 13,11.11,80.80%,10.59,4.46
291,2 3 3 10,11.15,84.60%,11.25,4.87
292,3 4 8 12,11.17,87.70%,11.15,5.42
293,2 4 6 11,11.18,85.10%,10.98,5.39
294,2 2 8 9,11.21,87%,11.42,4.95
295,1 5 6 7,11.22,88.70%,11.53,4.63
296,5 8 10 11,11.22,87.10%,10.92,4.73
297,4 4 9 12,11.24,78.30%,10.16,4.72
298,2 5 6 6,11.25,78%,9.88,5.53
299,2 4 9 12,11.26,87.20%,11.26,4.76
300,4 8 11 13,11.28,82.40%,10.45,5.14
